num_links,contains_call_action,num_uppercase,contains_promo_words,num_digits,num_repeated_phrases,num_special_chars,num_exclamation,repeat_word_ratio,length_char,length_word,uppercase_ratio,duplicate_char_ratio,num_question,is_night,rating,contains_brand,time_comment,label
0,0,0,0,0,0,3,0,0.0625,75,16,0.0,0.0,0,0,5,0,16.16,0
0,0,4,0,0,0,2,0,0.1428571428571428,91,21,0.0439560439560439,0.0,0,0,4,0,11.08,0
0,0,2,0,0,0,0,0,0.0,71,16,0.028169014084507,0.0,0,1,5,0,23.09,0
0,0,3,0,3,0,1,0,0.074074074074074,116,27,0.0258620689655172,0.0,0,0,5,0,19.0,0
0,0,0,0,1,0,0,0,0.1428571428571428,82,21,0.0,0.0,0,0,5,0,11.21,0
0,1,7,1,15,1,6,4,0.0909090909090909,117,22,0.0598290598290598,0.0341880341880341,0,0,5,0,15.02,1
0,0,1,0,0,0,0,0,0.0666666666666666,66,15,0.0151515151515151,0.0,0,0,5,0,19.42,0
0,0,2,0,2,0,3,0,0.0555555555555555,85,18,0.0235294117647058,0.0,0,1,5,0,2.27,0
0,1,0,0,10,0,5,3,0.0,82,16,0.0,0.1341463414634146,0,0,5,0,17.3,1
0,0,1,0,0,0,2,0,0.0434782608695652,104,23,0.0096153846153846,0.0,0,0,5,0,21.4,0
0,0,0,1,12,0,3,0,0.3103448275862069,458,116,0.0,0.0,0,0,5,0,9.13,1
0,0,2,0,0,0,4,1,0.1904761904761904,96,21,0.0208333333333333,0.0,0,0,5,0,16.49,0
0,0,0,1,1,0,4,0,0.0416666666666666,96,24,0.0,0.0,0,0,5,0,17.14,0
0,0,0,1,3,0,0,0,0.131578947368421,152,38,0.0,0.0,0,0,5,0,10.47,0
0,0,4,0,0,0,9,1,0.0,179,41,0.0223463687150838,0.0,0,1,5,0,0.03,0
0,0,1,0,0,0,1,0,0.0,12,3,0.0833333333333333,0.0,0,0,5,0,19.39,0
0,0,0,0,1,0,1,0,0.1428571428571428,177,42,0.0,0.0,0,0,5,0,11.51,0
0,0,1,0,0,0,1,0,0.0,36,9,0.0277777777777777,0.0,0,0,5,0,18.02,0
0,0,2,0,0,0,3,1,0.0,67,13,0.0298507462686567,0.0,0,0,5,0,11.5,0
