length_char,length_word,num_uppercase,uppercase_ratio,num_exclamation,num_question,num_special_chars,num_digits,num_links,repeat_word_ratio,duplicate_char_ratio,contains_promo_words,contains_brand,contains_call_action,rating,time_comment,is_night,num_repeated_phrases,if_score,rule_score,final_score,label
81,16,1,0.0123456790123456,0,0,2,10,0,0.0,0.0,0,0,1,5,13.4,0,0,0.40628226168595605,10.0,0.48323220112307497,0
83,16,1,0.0120481927710843,0,0,5,0,1,0.5,0.036144578313253,1,0,1,5,22.59,0,6,0.6082673928851825,13.05,1.0151994755989295,1
77,15,3,0.0389610389610389,1,0,3,12,0,0.0666666666666666,0.0,0,0,1,5,21.12,0,0,0.45503067678469683,11.2,0.6253453143313911,0
87,17,0,0.0,3,0,5,10,0,0.0,0.0344827586206896,0,0,1,5,18.04,0,0,0.4789334179578579,8.5,0.5977376633041287,0
99,19,27,0.2727272727272727,0,0,5,5,1,0.0,0.0,1,0,1,5,14.05,0,0,0.5344456703352645,12.85,0.847838190112902,1
53,11,35,0.660377358490566,3,0,5,2,0,0.0,0.0566037735849056,1,0,1,5,23.11,1,0,0.6395339674420774,5.149999999999999,0.8498499771754303,1
76,16,1,0.0131578947368421,0,0,3,12,0,0.0,0.0,0,0,1,5,1.41,1,0,0.5028125305027517,11.649999999999999,0.7431552608181531,1
79,17,21,0.2658227848101265,0,0,3,0,1,0.0588235294117647,0.0379746835443038,1,0,1,5,7.14,0,0,0.5484523170535329,11.45,0.8370498527093712,1
85,17,0,0.0,3,0,5,10,0,0.0,0.0352941176470588,0,0,1,5,10.32,0,0,0.47454545949991284,8.5,0.5881414348163485,0
90,16,1,0.0111111111111111,0,0,7,0,1,0.5,0.0,1,0,1,5,11.09,0,6,0.5979441894167499,13.05,0.9926231863841686,1
71,13,46,0.647887323943662,3,0,5,7,0,0.0,0.0422535211267605,1,0,1,5,23.51,1,0,0.650566156341794,6.349999999999999,0.9094797378699366,1
81,16,0,0.0,0,0,2,10,0,0.0,0.0,0,0,1,5,9.15,0,0,0.4198105462004282,10.0,0.5128178297229796,0
76,16,1,0.0131578947368421,0,0,3,12,0,0.0,0.0,0,0,1,5,11.21,0,0,0.41858116072068424,11.2,0.545632188564224,0
83,16,22,0.2650602409638554,0,0,4,12,0,0.0625,0.0,1,0,0,5,17.1,0,0,0.4819653619167658,10.35,0.6591020890283261,0
79,16,1,0.0126582278481012,0,0,2,10,0,0.0,0.0,0,0,1,5,13.59,0,0,0.4054685580165151,11.2,0.5169556336641077,0
90,19,1,0.0111111111111111,3,0,8,0,1,0.0,0.0666666666666666,1,0,0,5,10.11,0,0,0.5246957020415606,7.85,0.6785865412256197,0
80,14,4,0.05,0,0,8,10,0,0.0,0.075,0,0,1,5,10.39,0,0,0.4414810774091935,11.2,0.595713071280005,0
90,17,23,0.2555555555555555,0,0,9,0,0,0.1176470588235294,0.0666666666666666,1,0,0,5,15.42,0,0,0.486476991012103,1.0499999999999998,0.39382084953595936,0
61,12,9,0.1475409836065573,0,0,7,3,1,0.0,0.0,1,0,0,5,12.26,0,0,0.48693529387020357,7.949999999999999,0.5989651450028809,0
94,20,9,0.0957446808510638,0,0,5,5,1,0.15,0.0319148936170212,1,0,0,5,6.35,0,1,0.5169973398552397,9.75,0.7179636560783693,0
75,16,2,0.0266666666666666,1,0,3,12,0,0.0,0.0,0,0,1,5,10.54,0,0,0.44283600661980405,11.2,0.5986762283869835,0
89,18,1,0.0112359550561797,0,0,6,0,1,0.2222222222222222,0.0337078651685393,1,0,1,5,10.59,0,3,0.5377101322835754,10.85,0.7958057946955333,1
94,18,1,0.0106382978723404,0,0,8,0,1,0.2222222222222222,0.0,1,0,1,5,19.36,0,3,0.5433972119455079,10.85,0.8082431311897511,1
82,16,0,0.0,3,0,5,10,0,0.0,0.1341463414634146,0,0,1,5,11.08,0,0,0.5037158767802468,11.7,0.7466101203468687,1
63,12,11,0.1746031746031746,0,0,7,3,1,0.0,0.0,1,0,0,5,12.36,0,0,0.49200406979923345,7.949999999999999,0.610050284580777,0
94,18,1,0.0106382978723404,0,0,8,0,1,0.2222222222222222,0.0,1,0,1,5,18.09,0,3,0.5410886573300995,10.85,0.8031944467552239,1
84,17,14,0.1666666666666666,0,0,6,2,1,0.0588235294117647,0.0,1,0,1,5,20.46,0,0,0.5066760782315172,10.45,0.7161016727448557,0
61,14,15,0.2459016393442623,0,0,5,3,0,0.0,0.0,1,0,0,5,15.46,0,0,0.4491017552254406,0.04999999999999993,0.28249742584647103,0
86,16,1,0.0116279069767441,0,0,7,0,1,0.5,0.0,1,0,1,5,11.39,0,6,0.6003787118151389,13.05,0.9979473555661394,1
73,14,15,0.2054794520547945,0,0,7,3,1,0.0,0.0,1,0,0,5,14.38,0,0,0.4944377791253821,7.949999999999999,0.6153726756176104,0
83,16,1,0.0120481927710843,0,0,5,0,1,0.5,0.036144578313253,1,0,1,5,19.51,0,6,0.6039274420284589,13.05,1.0057082371457833,1
53,11,35,0.660377358490566,3,0,5,2,0,0.0,0.0566037735849056,1,0,1,5,13.47,0,0,0.579061785736022,5.049999999999999,0.714641997403686,0
76,14,4,0.0526315789473684,0,0,8,10,0,0.0714285714285714,0.0789473684210526,0,0,1,5,13.1,0,0,0.44221978824330255,11.2,0.5973285920326397,0
78,15,35,0.4487179487179487,7,0,9,2,0,0.2,0.0897435897435897,1,0,1,5,15.35,0,1,0.6187825206416478,7.249999999999998,0.8665978597442965,1
74,14,16,0.2162162162162162,0,0,4,6,1,0.0,0.0405405405405405,1,0,0,5,16.25,0,0,0.5105281158036501,10.55,0.7274844510413291,0
93,18,1,0.010752688172043,0,0,4,10,1,0.0555555555555555,0.1182795698924731,1,0,1,5,13.37,0,0,0.5319448731924651,19.45,1.0376353538287106,1
86,17,0,0.0,3,0,5,10,0,0.0,0.127906976744186,1,0,1,5,1.44,1,0,0.6051490931182493,11.399999999999999,0.9595633541434005,1
117,24,8,0.0683760683760683,1,0,3,15,0,0.0,0.0683760683760683,1,0,1,5,20.12,0,0,0.5151121814685121,7.050000000000001,0.6339592595558206,0
76,14,4,0.0526315789473684,0,0,8,10,0,0.0,0.1842105263157894,0,0,1,5,22.29,0,0,0.49500353397135327,12.399999999999999,0.7482667556861076,1
70,14,16,0.2285714285714285,0,0,4,7,0,0.0,0.0,1,0,0,5,15.16,0,0,0.4525190094425582,1.25,0.32547373509331595,0
492,108,11,0.0223577235772357,0,0,13,0,0,0.1666666666666666,0.0,0,0,0,5,11.51,0,0,0.4298061503670456,6.1,0.41929306154876583,0
90,21,1,0.0111111111111111,0,0,2,0,0,0.0476190476190476,0.0,0,0,0,5,17.45,0,0,0.3230414914431231,0.0,0.005331137936322865,0
110,26,4,0.0363636363636363,0,0,3,0,0,0.1153846153846153,0.0,0,0,0,5,11.31,0,0,0.3281493106981617,0.0,0.016501663162440994,0
66,16,1,0.0151515151515151,0,0,3,1,0,0.0,0.0,0,0,0,5,22.14,0,0,0.33590831625102036,0.0,0.0334701898330549,0
69,16,2,0.0289855072463768,0,0,5,0,0,0.0,0.0,0,0,0,5,20.09,0,0,0.3313206746215376,0.0,0.023437265018815445,0
77,18,2,0.0259740259740259,0,0,2,0,0,0.1111111111111111,0.0,0,0,0,5,22.2,0,0,0.3328413938091239,0.0,0.026762995863738745,0
72,15,1,0.0138888888888888,0,0,3,0,0,0.0,0.0,0,0,0,5,18.32,0,0,0.3264171608467713,0.0,0.01271354485906004,0
64,15,4,0.0625,0,0,3,0,0,0.0,0.0,0,0,0,5,20.43,0,0,0.342915534602005,0.0,0.048794598439991864,0
76,17,4,0.0526315789473684,0,0,5,0,0,0.0,0.0,0,0,0,5,14.37,0,0,0.33498380444448733,0.0,0.03144833237470145,0
52,12,1,0.0192307692307692,0,0,1,0,0,0.0,0.0,0,0,0,5,10.17,0,0,0.32926535525646533,0.0,0.01894239241880699,0
64,13,2,0.03125,0,0,4,0,0,0.0,0.046875,0,0,0,5,17.46,0,0,0.34520002217421303,0.0,0.05379064954906933,0
51,12,1,0.0196078431372549,0,0,2,0,0,0.0,0.0,0,0,0,5,21.21,0,0,0.3320421930625018,0.0,0.025015186934895375,0
110,27,2,0.0181818181818181,0,0,3,0,0,0.074074074074074,0.0,0,0,0,5,19.48,0,0,0.3250260267029314,0.0,0.009671209515782438,0
84,21,3,0.0357142857142857,0,0,5,0,0,0.0952380952380952,0.0,0,0,0,5,19.4,0,0,0.3309483401304105,0.0,0.02262298956817458,0
90,22,2,0.0222222222222222,0,0,1,1,0,0.0909090909090909,0.0,0,0,0,5,17.44,0,0,0.326080631081543,0.0,0.011977572412870984,0
476,104,16,0.0336134453781512,2,0,16,4,0,0.25,0.0,1,0,0,5,10.05,0,0,0.5382653477253376,8.65,0.7319312635252792,0
61,14,1,0.0163934426229508,0,0,3,0,0,0.0,0.0,0,0,0,5,17.29,0,0,0.3254352162332545,0.0,0.010566084949408762,0
62,16,0,0.0,0,0,0,0,0,0.0625,0.0,0,0,0,5,21.37,0,0,0.3375928812516287,0.0,0.03715424263421234,0
64,15,0,0.0,0,0,0,0,0,0.0666666666666666,0.0,0,0,0,5,10.28,0,0,0.334009647061521,0.0,0.02931790271826823,0
59,15,1,0.0169491525423728,0,0,0,0,0,0.0666666666666666,0.0,0,0,0,5,16.18,0,0,0.32441574637292214,0.0,0.008336559348855063,0
76,14,4,0.0526315789473684,0,0,8,10,0,0.0714285714285714,0.0789473684210526,0,0,1,5,15.18,0,0,0.4421978031638956,11.2,0.597280511849718,0
28,7,1,0.0357142857142857,0,0,1,0,0,0.0,0.0,0,0,0,5,8.45,0,0,0.34386801076160795,0.0,0.05087761243028235,0
369,77,24,0.065040650406504,0,0,31,2,0,0.1818181818181818,0.0,0,0,1,4,23.48,1,0,0.6077859316388089,7.9,0.8617796819148713,1
81,19,1,0.0123456790123456,0,0,0,0,0,0.0526315789473684,0.0,0,0,0,5,9.0,0,0,0.3293845663388591,0.0,0.019203100626482665,0
53,12,0,0.0,0,0,2,0,0,0.0,0.0,0,0,0,5,18.47,0,0,0.3351824607758769,0.0,0.03188278305713818,0
76,14,4,0.0526315789473684,0,0,8,10,0,0.0714285714285714,0.1842105263157894,0,0,1,5,11.19,0,0,0.48281174077061606,12.399999999999999,0.7216039615071423,0
98,18,1,0.010204081632653,0,0,6,10,1,0.0555555555555555,0.0816326530612244,1,0,1,5,13.48,0,0,0.5197455631535135,19.45,1.010956120729983,1
3,1,1,0.3333333333333333,0,0,0,0,0,0.0,0.0,0,0,0,5,19.46,0,0,0.41732076595037043,0.8,0.23518346548725502,0
174,44,1,0.0057471264367816,0,0,2,0,0,0.0909090909090909,0.0,0,0,0,5,14.43,0,0,0.33590045667855367,0.0,0.03345300137196772,0
95,19,14,0.1473684210526315,3,0,8,7,1,0.0526315789473684,0.031578947368421,1,0,0,5,13.0,0,0,0.5313581614697555,9.85,0.7523285782957473,1
53,11,35,0.660377358490566,3,0,5,2,0,0.0,0.0566037735849056,1,0,1,5,14.57,0,0,0.5799836101431222,5.049999999999999,0.7166579776644217,0
86,18,25,0.2906976744186046,0,0,2,1,0,0.0555555555555555,0.0,0,0,0,5,0.17,1,0,0.5186838203618785,0.5000000000000002,0.4479832589346504,0
78,16,18,0.2307692307692307,0,0,5,1,1,0.0,0.0,1,0,0,4,13.25,0,0,0.5219561095507408,7.949999999999999,0.6755537800867816,0
83,20,11,0.1325301204819277,0,0,5,18,0,0.1,0.0963855421686747,0,0,0,5,14.15,0,0,0.4713931541002151,3.8,0.44219425848548766,0
108,25,8,0.074074074074074,0,0,3,2,0,0.12,0.0,1,0,1,5,19.25,0,0,0.45028661523370145,1.9499999999999997,0.3413016685318867,0
76,14,16,0.2105263157894736,0,0,4,6,1,0.0714285714285714,0.0394736842105263,1,0,0,5,17.39,0,0,0.506755688580204,10.55,0.7192343561653936,0
89,19,22,0.247191011235955,0,0,5,2,1,0.0,0.0,1,0,0,5,16.48,0,0,0.5089250893474606,7.949999999999999,0.6470556417160463,0
49,12,2,0.0408163265306122,0,0,0,0,0,0.0833333333333333,0.0,0,0,0,1,11.01,0,0,0.4457456667830419,0.0,0.2736785514890803,0
93,18,1,0.010752688172043,0,0,4,10,1,0.0555555555555555,0.1182795698924731,1,0,1,1,10.56,0,0,0.6005564286830138,19.55,1.1906437050789092,1
99,19,6,0.0606060606060606,3,0,5,15,0,0.0,0.0303030303030303,1,0,1,4,11.4,0,0,0.5407916445016274,7.550000000000001,0.7049117596237433,0
7,2,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,5,16.35,0,0,0.35304723578390707,0.0,0.07095208248257708,0
13,4,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,5,12.23,0,0,0.349658703631126,0.0,0.06354154542122464,0
2,1,1,0.5,0,0,0,0,0,0.0,0.0,0,0,0,5,13.17,0,0,0.42920966958125034,0.8,0.26118385651296044,0
81,18,2,0.0246913580246913,0,0,2,0,0,0.0,0.0,0,0,0,5,13.05,0,0,0.3237173486467146,0.0,0.006809201188957515,0
107,27,4,0.0373831775700934,0,0,3,0,0,0.074074074074074,0.0,0,0,0,3,18.28,0,0,0.38814581205816456,0.0,0.1477107757910114,0
37,10,3,0.081081081081081,0,0,2,0,0,0.0,0.0,0,0,0,5,17.23,0,0,0.347199196215052,0.0,0.05816273535311636,0
